prices,address,beds,zipcode,lat,long,url,baths,sq_feet
369900.0, 4831 N Limonero Cir Phoenix AZ 85037 ,3,85308,33.649954,-112.157202,https://www.zillow.com/homedetails/18036-N-45th-Ave-Glendale-AZ-85308/7948888_zpid/,2,1416
305000.0, 18036 N 45th Ave Glendale AZ 85308 ,3,85033,33.491504,-112.198481,https://www.zillow.com/homedetails/6444-W-Clarendon-Ave-Phoenix-AZ-85033/7490012_zpid/,2,1256
310000.0, 6444 W Clarendon Ave Phoenix AZ 85033 ,3,85339,33.350507,-112.179405,https://www.zillow.com/homedetails/5531-W-Western-Star-Blvd-Laveen-AZ-85339/325719769_zpid/,2,910
564990.0, 5531 W Western Star Blvd Laveen AZ 85339 ,4,85253,33.581445,-111.96381,https://www.zillow.com/homedetails/5421-E-Cannon-Dr-Paradise-Valley-AZ-85253/7828219_zpid/,4,3009
2295000.0, 5421 E Cannon Dr Paradise Valley AZ 85253 ,5,85009,33.467276,-112.14348,https://www.zillow.com/homedetails/3905-W-Almeria-Rd-Phoenix-AZ-85009/7511744_zpid/,4,4169
350000.0, 3905 W Almeria Rd Phoenix AZ 85009 ,4,85009,33.478617,-112.152694,https://www.zillow.com/homedetails/2652-N-43rd-Ave-11C-Phoenix-AZ-85009/7495152_zpid/,4,3080
120000.0, 2652 N 43rd Ave #11C Phoenix AZ 85009 ,2,85016,33.535508,-112.045646,https://www.zillow.com/homedetails/6733-N-16th-St-UNIT-36-Phoenix-AZ-85016/7807749_zpid/,2,1036
215000.0, 6733 N 16th St UNIT 36 Phoenix AZ 85016 ,2,0,0.0,0.0,0,1,783
299000.0, 4644 N 22nd St UNIT 2077 Phoenix AZ 85016 ,1,85016,33.52935,-112.034245,https://www.zillow.com/homedetails/4644-N-22nd-St-UNIT-2077-Phoenix-AZ-85016/68535752_zpid/,1,1189
433900.0, 9535 W Miami St Tolleson AZ 85353 ,3,85353,33.417216,-112.265382,https://www.zillow.com/homedetails/9535-W-Miami-St-Tolleson-AZ-85353/67772428_zpid/,3,1984
499900.0, 5010 E Paseo Way Phoenix AZ 85044 ,3,85044,33.363588,-111.973217,https://www.zillow.com/homedetails/5010-E-Paseo-Way-Phoenix-AZ-85044/8142899_zpid/,2,1466
420000.0, 1136 E Sunnyslope Ln Phoenix AZ 85020 ,3,85020,33.570677,-112.05776,https://www.zillow.com/homedetails/1136-E-Sunnyslope-Ln-Phoenix-AZ-85020/7787199_zpid/,2,1098
445000.0, 9429 N 9th Ave Phoenix AZ 85021 ,4,85021,33.572348,-112.084392,https://www.zillow.com/homedetails/9429-N-9th-Ave-Phoenix-AZ-85021/7782037_zpid/,2,1662
157500.0, 4242 W Nancy Ln Phoenix AZ 85041 ,3,85041,33.389538,-112.150568,https://www.zillow.com/homedetails/4242-W-Nancy-Ln-Phoenix-AZ-85041/7504527_zpid/,2,1332
492000.0, 815 W Missouri Ave Phoenix AZ 85013 ,3,85013,33.516374,-112.084257,https://www.zillow.com/homedetails/815-W-Missouri-Ave-Phoenix-AZ-85013/7776381_zpid/,2,1291
290000.0, 5146 W Berkeley Rd Phoenix AZ 85035 ,3,85035,33.468426,-112.171041,https://www.zillow.com/homedetails/5146-W-Berkeley-Rd-Phoenix-AZ-85035/7493711_zpid/,1,1052
185000.0, 3434 E Baseline Rd UNIT 258 Phoenix AZ 85042 ,1,85042,33.378463,-112.007352,https://www.zillow.com/homedetails/3434-E-Baseline-Rd-UNIT-258-Phoenix-AZ-85042/81957508_zpid/,1,675
635000.0, 939 E Rose Ln Phoenix AZ 85014 ,3,85014,33.527141,-112.060868,https://www.zillow.com/homedetails/939-E-Rose-Ln-Phoenix-AZ-85014/7798073_zpid/,2,1812
428990.0, Owl Plan Tuscano ,4,85001,33.42161,-112.2294,https://www.zillow.com/community/tuscano/2080727430_zpid/,3,2395
225000.0, 2825 W Madison St Phoenix AZ 85009 ,3,85009,33.446272,-112.120729,https://www.zillow.com/homedetails/2825-W-Madison-St-Phoenix-AZ-85009/7515003_zpid/,1,968
364900.0, 8550 N 32nd Dr Phoenix AZ 85051 ,3,85051,33.561943,-112.130064,https://www.zillow.com/homedetails/8550-N-32nd-Dr-Phoenix-AZ-85051/7752050_zpid/,3,2312
195000.0, 1016 E Osborn Rd UNIT B Phoenix AZ 85014 ,1,85014,33.488054,-112.06101,https://www.zillow.com/homedetails/1016-E-Osborn-Rd-UNIT-B-Phoenix-AZ-85014/7535279_zpid/,1,595
646000.0, 337 W Lewis Ave Phoenix AZ 85003 ,2,85003,33.474656,-112.079902,https://www.zillow.com/homedetails/337-W-Lewis-Ave-Phoenix-AZ-85003/7536870_zpid/,1,1417
439000.0, 5124 W T Ryan Ln Laveen AZ 85339 ,4,85339,33.389875,-112.169732,https://www.zillow.com/homedetails/5124-W-T-Ryan-Ln-Laveen-AZ-85339/71612302_zpid/,2,1984
129900.0, 3526 W Dunlap Ave #157 Phoenix AZ 85051 ,2,85051,33.569129,-112.136229,https://www.zillow.com/homedetails/3526-W-Dunlap-Ave-157-Phoenix-AZ-85051/59270952_zpid/,2,1108
650000.0, 6636 N 10th Ave Phoenix AZ 85013 ,3,85013,33.534207,-112.086573,https://www.zillow.com/homedetails/6636-N-10th-Ave-Phoenix-AZ-85013/7774899_zpid/,2,1778
359000.0, 1629 W Grovers Ave Phoenix AZ 85023 ,3,85023,33.647189,-112.09479,https://www.zillow.com/homedetails/1629-W-Grovers-Ave-Phoenix-AZ-85023/7958455_zpid/,2,1342
165900.0, 10411 N 11th Ave APT 25 Phoenix AZ 85021 ,2,85021,33.58052,-112.086683,https://www.zillow.com/homedetails/10411-N-11th-Ave-APT-25-Phoenix-AZ-85021/7781584_zpid/,2,1056
799000.0, 2115 E Vista Bonita Dr Phoenix AZ 85024 ,5,85024,33.696648,-112.038166,https://www.zillow.com/homedetails/2115-E-Vista-Bonita-Dr-Phoenix-AZ-85024/7990534_zpid/,4,4028
790000.0, 7210 N 17th Ave Phoenix AZ 85021 ,5,85021,33.54269,-112.095653,https://www.zillow.com/homedetails/7210-N-17th-Ave-Phoenix-AZ-85021/7778108_zpid/,3,2519
370000.0, 5234 W Encanto Blvd Phoenix AZ 85035 ,4,85035,33.473447,-112.173193,https://www.zillow.com/homedetails/5234-W-Encanto-Blvd-Phoenix-AZ-85035/7493272_zpid/,2,1843
280000.0, 19601 N 7th St UNIT 1058 Phoenix AZ 85024 ,3,85024,33.665305,-112.065325,https://www.zillow.com/homedetails/19601-N-7th-St-UNIT-1058-Phoenix-AZ-85024/2067627732_zpid/,2,1184
360000.0, 5335 E Shea Blvd APT 1064 Scottsdale AZ 85254 ,2,85254,33.582363,-111.966427,https://www.zillow.com/homedetails/5335-E-Shea-Blvd-APT-1064-Scottsdale-AZ-85254/68536014_zpid/,2,1056
659900.0, 16035 N 48th Way Scottsdale AZ 85254 ,3,85254,33.633163,-111.976036,https://www.zillow.com/homedetails/16035-N-48th-Way-Scottsdale-AZ-85254/8021126_zpid/,2,1647
484900.0, 6638 N Chatelaine Pl Phoenix AZ 85014 ,2,85014,33.533911,-112.062686,https://www.zillow.com/homedetails/6638-N-Chatelaine-Pl-Phoenix-AZ-85014/7796424_zpid/,2,1596
550000.0, 3414 E Sequoia Dr Phoenix AZ 85050 ,4,85050,33.663395,-112.008659,https://www.zillow.com/homedetails/3414-E-Sequoia-Dr-Phoenix-AZ-85050/7992435_zpid/,3,2014
388990.0, Palo Verde Plan Prior Ridge ,4,85339,33.35179,-112.1697,https://www.zillow.com/community/prior-ridge/2079148377_zpid/,2,1696
349999.0, 7027 S 43rd Pl Phoenix AZ 85042 ,2,85042,33.382619,-111.98845,https://www.zillow.com/homedetails/7027-S-43rd-Pl-Phoenix-AZ-85042/7552089_zpid/,2,924
274800.0, 7320 W Cypress St Phoenix AZ 85035 ,2,85035,33.472439,-112.21743,https://www.zillow.com/homedetails/7320-W-Cypress-St-Phoenix-AZ-85035/7475066_zpid/,1,840
379800.0, 4101 W Sweetwater Ave Phoenix AZ 85029 ,3,85029,33.60332,-112.147662,https://www.zillow.com/homedetails/4101-W-Sweetwater-Ave-Phoenix-AZ-85029/7742305_zpid/,2,1468
1250000.0, 2016 E State Ave Phoenix AZ 85020 ,5,85020,33.544296,-112.038,https://www.zillow.com/homedetails/2016-E-State-Ave-Phoenix-AZ-85020/7807270_zpid/,3,3433
409900.0, 637 N 47th Pl Phoenix AZ 85008 ,3,85008,33.456059,-111.979129,https://www.zillow.com/homedetails/637-N-47th-Pl-Phoenix-AZ-85008/7560115_zpid/,2,1215
439900.0, 10307 W Montebello Ave Glendale AZ 85307 ,3,85307,33.518392,-112.28161,https://www.zillow.com/homedetails/10307-W-Montebello-Ave-Glendale-AZ-85307/7488636_zpid/,2,1876
790000.0, 13401 N 50th St Scottsdale AZ 85254 ,4,85254,33.607897,-111.973276,https://www.zillow.com/homedetails/13401-N-50th-St-Scottsdale-AZ-85254/7821689_zpid/,2,2017
239999.0, 4211 E Palm Ln UNIT 207 Phoenix AZ 85008 ,2,85008,33.469137,-111.990533,https://www.zillow.com/homedetails/4211-E-Palm-Ln-UNIT-207-Phoenix-AZ-85008/7560843_zpid/,2,900
580000.0, 132 E Sharon Ave Phoenix AZ 85022 ,4,85022,33.611061,-112.07222,https://www.zillow.com/homedetails/132-E-Sharon-Ave-Phoenix-AZ-85022/7783502_zpid/,2,2383
605000.0, 2912 E Shady Spring Trl Phoenix AZ 85024 ,4,85024,33.711601,-112.020217,https://www.zillow.com/homedetails/2912-E-Shady-Spring-Trl-Phoenix-AZ-85024/82826565_zpid/,2,2038
436000.0, 3615 E Friess Dr Phoenix AZ 85032 ,3,85032,33.614475,-112.003551,https://www.zillow.com/homedetails/3615-E-Friess-Dr-Phoenix-AZ-85032/8012394_zpid/,2,1396
341000.0, 1632 E Adams St Phoenix AZ 85034 ,3,85034,33.449725,-112.046213,https://www.zillow.com/homedetails/1632-E-Adams-St-Phoenix-AZ-85034/7527741_zpid/,1,1035
402990.0, Legacy Plan Alara ,3,85339,33.377,-112.1557,https://www.zillow.com/community/alara/2077436562_zpid/,2,2135
799900.0, 2406 W Sienna Bouquet Pl Phoenix AZ 85085 ,8,85085,33.782603,-112.11136,https://www.zillow.com/homedetails/2406-W-Sienna-Bouquet-Pl-Phoenix-AZ-85085/67765540_zpid/,4,4242
649900.0, 3845 E Windsong Dr Phoenix AZ 85048 ,5,85048,33.294378,-111.998583,https://www.zillow.com/homedetails/3845-E-Windsong-Dr-Phoenix-AZ-85048/8163343_zpid/,3,2815
486000.0, 3441 E Windsong Dr Phoenix AZ 85048 ,3,85048,33.293401,-112.009076,https://www.zillow.com/homedetails/3441-E-Windsong-Dr-Phoenix-AZ-85048/8255852_zpid/,2,1616
354000.0, 12221 N 33rd Dr Phoenix AZ 85029 ,3,85029,33.597217,-112.130268,https://www.zillow.com/homedetails/12221-N-33rd-Dr-Phoenix-AZ-85029/7747859_zpid/,2,1148
378990.0, Dove Plan Alara ,3,85339,33.377,-112.1557,https://www.zillow.com/community/alara/2077436569_zpid/,2,1611
414000.0, 1826 W Minton St Phoenix AZ 85041 ,3,85041,33.381214,-112.097763,https://www.zillow.com/homedetails/1826-W-Minton-St-Phoenix-AZ-85041/121860394_zpid/,3,2288
645000.0, 6406 W Hackamore Dr Phoenix AZ 85083 ,4,85083,33.714087,-112.197859,https://www.zillow.com/homedetails/6406-W-Hackamore-Dr-Phoenix-AZ-85083/7925717_zpid/,3,3101
869900.0, 1826 E South Fork Dr Phoenix AZ 85048 ,4,85048,33.305867,-112.043889,https://www.zillow.com/homedetails/1826-E-South-Fork-Dr-Phoenix-AZ-85048/8159807_zpid/,3,3263
349900.0, 4650 N 75th Ln Phoenix AZ 85033 ,3,85033,33.504987,-112.22215,https://www.zillow.com/homedetails/4650-N-75th-Ln-Phoenix-AZ-85033/7468126_zpid/,2,1949
417500.0, 7234 S 39th Dr Phoenix AZ 85041 ,3,85041,33.38065,-112.143215,https://www.zillow.com/homedetails/7234-S-39th-Dr-Phoenix-AZ-85041/55213422_zpid/,3,2093
440000.0, 2020 W Hasan Dr Phoenix AZ 85041 ,4,85041,33.391222,-112.10246,https://www.zillow.com/homedetails/2020-W-Hasan-Dr-Phoenix-AZ-85041/63179338_zpid/,2,2051
431000.0, 513 E Utopia Rd Phoenix AZ 85024 ,3,85024,33.661846,-112.067221,https://www.zillow.com/homedetails/513-E-Utopia-Rd-Phoenix-AZ-85024/7972465_zpid/,3,1585
699000.0, 4510 W Summerside Rd Laveen AZ 85339 ,4,85339,33.356797,-112.156864,https://www.zillow.com/homedetails/4510-W-Summerside-Rd-Laveen-AZ-85339/67771820_zpid/,4,3087
455000.0, 2606 W Nancy Ln Phoenix AZ 85041 ,4,85041,33.390653,-112.114773,https://www.zillow.com/homedetails/2606-W-Nancy-Ln-Phoenix-AZ-85041/67774086_zpid/,3,2284
384900.0, 2745 W Charleston Ave Phoenix AZ 85053 ,3,85053,33.648782,-112.119134,https://www.zillow.com/homedetails/2745-W-Charleston-Ave-Phoenix-AZ-85053/7940912_zpid/,2,1343
647000.0, 2636 W Lodge Dr Phoenix AZ 85041 ,5,85041,33.354304,-112.117046,https://www.zillow.com/homedetails/2636-W-Lodge-Dr-Phoenix-AZ-85041/62733013_zpid/,4,3246
